stroke,age_group,cut_time
Freestyle,Girls 6 & Under,29.03
Freestyle,Boys 6 & Under,30.25
Freestyle,Girls 7-8,21.42
Freestyle,Boys 7-8,20.44
Freestyle,Girls 9-10,38.25
Freestyle,Boys 9-10,38.92
Freestyle,Girls 11-12,32.92
Freestyle,Boys 11-12,32.88
Freestyle,Girls 13-14,31.87
Freestyle,Boys 13-14,29.50
Freestyle,Girls 15-18,31.69
Freestyle,Boys 15-18,27.79
Backstroke,Girls 6 & Under,35.14
Backstroke,Boys 6 & Under,35.15
Backstroke,Girls 7-8,25.50
Backstroke,Boys 7-8,25.79
Backstroke,Girls 9-10,46.64
Backstroke,Boys 9-10,47.99
Backstroke,Girls 11-12,40.47
Backstroke,Boys 11-12,40.58
Backstroke,Girls 13-14,37.43
Backstroke,Boys 13-14,34.19
Backstroke,Girls 15-18,35.83
Backstroke,Boys 15-18,31.52
Breaststroke,Girls 8 & Under,30.25
Breaststroke,Boys 8 & Under,30.87
Breaststroke,Girls 9-10,51.72
Breaststroke,Boys 9-10,54.61
Breaststroke,Girls 11-12,46.19
Breaststroke,Boys 11-12,45.56
Breaststroke,Girls 13-14,43.39
Breaststroke,Boys 13-14,39.68
Breaststroke,Girls 15-18,42.46
Breaststroke,Boys 15-18,35.52
Butterfly,Girls 8 & Under,27.65
Butterfly,Boys 8 & Under,28.70
Butterfly,Girls 9-10,20.33
Butterfly,Boys 9-10,20.99
Butterfly,Girls 11-12,38.07
Butterfly,Boys 11-12,38.38
Butterfly,Girls 13-14,36.08
Butterfly,Boys 13-14,32.63
Butterfly,Girls 15-18,35.02
Butterfly,Boys 15-18,29.35
Individual Medley,Girls 10 & Under,1:43.50
Individual Medley,Boys 10 & Under,1:46.70
Individual Medley,Girls 11-12,1:26.30
Individual Medley,Boys 11-12,1:27.20
Individual Medley,Girls 13-14,1:21.56
Individual Medley,Boys 13-14,1:16.47
Individual Medley,Girls 15-18,1:20.80
Individual Medley,Boys 15-18,1:09.90
