abbr,name
TBS,Belmont Sharks
BBST,Brambleton Bettas
BP,Broadlands Piranhas
DFDR,Dulles Farms Devil Rays
EMM,Evergreen Meadows Makos
EE,Exeter Eagles
FPS,Franklin Park Stingrays
GFG,Greenway Gators
HUR,Hartland Hurricanes
ILE,Ida Lee Eeliminators
KFS,Kincaid Forest Stingrays
KFARK,Kirkpatrick Farms Krakens
LVET,LVE Torpedoes
LV2,Loudoun Valley II Viperfish
LLST,Lansdowne Lightning
LMM,Lenah Mill Marlins
LRFRO,Lenah Run Froggers
LDST,Lovettsville Dolphins
MCMR,Martin's Chase Manta Rays
ORCAS,One Loudoun Orcas
PCB,Potomac Crossing Barracudas
PSSVA,Potomac Station Sailfish
TIDE,Rivercrest Riptide
SRST,Stone Ridge Sharks
SH,Stoneleigh Stars
STRAT,Stratford Sea Otters
TFT,Tavistock Farms Tsunamis
WWNOR,Willowsford North Waves
WSW,Willowsford South Waves
MOC,Woodlea Watermocs
